Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,SOS OppO,SOS OppD,NCSOS AdjEM,Season,Team_Id,Team_Name
85.0,Rhode Island,A10,20-14,8.35,101.0,92.7,68.1,0.004,3.12,101.7,98.6,1.94,2004.0,1348,Rhode Island
86.0,ETSU,SC,27-6,8.32,100.1,91.8,76.3,0.017,-3.04,98.4,101.4,-1.7,2004.0,1190,ETSU
88.0,Troy,ASun,24-7,7.64,108.9,101.3,71.7,0.018,-5.75,97.0,102.8,-0.04,2004.0,1407,Troy
92.0,Marquette,CUSA,19-12,6.82,107.5,100.7,67.9,0.02,4.24,101.3,97.1,-3.32,2004.0,1266,Marquette
93.0,West Virginia,BE,17-14,6.68,102.4,95.7,66.1,0.064,6.81,102.8,96.0,1.57,2004.0,1452,West Virginia
97.0,Arkansas,SEC,12-16,5.87,100.4,94.5,69.6,-0.068,7.41,103.8,96.4,-3.15,2004.0,1116,Arkansas
101.0,Northwestern,B10,14-15,5.41,101.5,96.1,63.3,0.022,6.5,103.2,96.6,2.64,2004.0,1321,Northwestern
259.0,Northwestern,Slnd,11-17,-9.4,91.9,101.3,76.1,-0.057,-5.83,96.9,102.8,3.03,2004.0,1321,Northwestern
108.0,Princeton,Ivy,20-8,4.73,102.1,97.4,60.0,0.033,-4.72,96.3,101.1,-1.28,2004.0,1343,Princeton
110.0,Miami FL,BE,14-16,4.55,102.4,97.8,69.4,-0.103,3.99,99.8,95.8,-7.11,2004.0,1274,Miami FL
120.0,UNC Wilmington,CAA,15-15,3.64,94.9,91.3,63.7,-0.063,-0.01,99.5,99.5,1.05,2004.0,1423,UNC Wilmington
124.0,Virginia Tech,BE,15-14,3.05,97.5,94.4,69.9,0.051,4.68,101.3,96.7,-6.96,2004.0,1439,Virginia Tech
130.0,Butler,Horz,16-14,2.65,102.6,100.0,60.4,-0.037,0.08,98.9,98.8,0.74,2004.0,1139,Butler
132.0,USC,P10,13-15,2.25,100.1,97.8,74.4,0.085,6.33,104.2,97.9,3.8,2004.0,1425,USC
133.0,Minnesota,B10,12-18,2.2,100.7,98.5,70.4,-0.034,6.06,103.2,97.2,0.97,2004.0,1278,Minnesota
135.0,MTSU,SB,17-12,1.7,98.9,97.2,68.6,0.026,-1.35,99.2,100.5,-0.82,2004.0,1292,MTSU
137.0,SMU,WAC,12-18,1.5,101.2,99.7,65.8,0.001,5.85,102.3,96.5,1.34,2004.0,1374,SMU
143.0,UCLA,P10,11-17,1.24,98.4,97.1,67.2,0.016,6.69,103.7,97.0,5.39,2004.0,1417,UCLA
168.0,New Orleans,SB,17-14,-1.15,98.1,99.3,68.3,0.086,-0.52,99.7,100.2,1.09,2004.0,1309,New Orleans
171.0,Vermont,AE,22-9,-1.33,97.2,98.6,67.2,0.114,-8.48,93.5,102.0,-5.3,2004.0,1436,Vermont
191.0,Iona,MAAC,11-18,-3.79,97.7,101.5,72.7,-0.053,-1.77,98.4,100.2,2.21,2004.0,1233,Iona
199.0,New Mexico St,SB,13-14,-4.17,94.7,98.9,66.7,-0.016,-0.85,99.9,100.7,0.46,2004.0,1308,New Mexico St
205.0,Bucknell,Pat,14-15,-4.55,92.8,97.3,67.4,-0.116,-7.39,94.9,102.2,-2.02,2004.0,1137,Bucknell
228.0,Winthrop,BSth,16-12,-6.3,95.7,102.0,66.1,0.018,-8.22,94.8,103.0,0.57,2004.0,1457,Winthrop
235.0,Baylor,B12,8-21,-6.59,97.6,104.2,64.5,0.007,5.68,102.3,96.6,-5.59,2004.0,1124,Baylor
238.0,Jacksonville St,OVC,14-14,-6.79,100.3,107.1,71.1,-0.027,-7.82,96.2,104.0,-13.31,2004.0,1240,Jacksonville St
272.0,Mt St Mary's,NEC,10-19,-11.26,92.8,104.1,68.3,-0.036,-8.16,95.1,103.3,-3.75,2004.0,1291,Mt St Mary's
298.0,TX Southern,SWAC,14-15,-14.95,84.5,99.5,72.7,0.004,-14.31,90.2,104.5,-8.27,2004.0,1411,TX Southern
,,,,,,,,,,,,,,1195,FL Gulf Coast
,,,,,,,,,,,,,,1297,N Kentucky
,,,,,,,,,,,,,,1300,NC Central
,,,,,,,,,,,,,,1315,North Dakota
,,,,,,,,,,,,,,1355,S Dakota St
,,,,,,,,,,,,,,1413,UC Davis
1.0,North Carolina,ACC,33-4,32.17,118.7,86.5,76.1,0.011,11.38,105.3,93.9,5.89,2005.0,1314,North Carolina
